Date,aapl,cvx,ge
2010-3-23,226.35,68.24,16.91
2010-3-22,222.77,67.96,16.67
2010-3-19,220.29,68.44,16.67
2010-3-18,222.67,68.23,16.78
2010-3-17,222.15,68.15,16.64
2010-3-16,222.47,67.52,16.67
2010-3-15,221.87,67.15,15.95
2010-3-12,224.61,67.29,15.72
2010-3-11,223.52,67.53,15.20
2010-3-10,222.86,67.50,15.23
2010-3-9,221.06,67.82,15.21
2010-3-8,217.15,68.13,15.01
2010-3-5,217.02,67.82,15.08
2010-3-4,208.86,66.70,14.86
2010-3-3,207.49,66.75,14.79
2010-3-2,207.01,66.92,14.67
2010-3-1,207.15,66.46,14.67
2010-2-26,202.82,65.99,14.81
2010-2-25,200.22,65.82,14.69
2010-2-24,198.89,66.03,14.78
2010-2-23,195.33,65.75,14.62
2010-2-22,198.66,66.59,14.90
2010-2-19,199.89,67.59,14.82
2010-2-18,201.14,67.19,14.89
2010-2-17,200.77,66.48,14.80
2010-2-16,201.61,66.62,14.70
2010-2-12,198.62,64.81,14.25
2010-2-11,196.92,64.85,14.46
2010-2-10,193.40,63.96,14.38
2010-2-9,194.46,64.47,14.30
2010-2-8,192.41,63.40,14.30
2010-2-5,193.74,64.35,14.47
2010-2-4,190.36,64.52,14.70
2010-2-3,197.48,66.19,15.29
2010-2-2,194.14,67.31,15.45
2010-2-1,193.02,66.52,14.90
2010-1-29,190.37,65.20,14.74
2010-1-28,197.54,66.21,14.81
2010-1-27,206.05,66.63,14.94
2010-1-26,204.13,67.04,14.99
2010-1-25,201.28,67.40,15.01
2010-1-22,196.01,67.43,14.77
2010-1-21,206.24,68.93,14.69
2010-1-20,209.87,70.65,15.13
2010-1-19,213.15,72.04,15.16
2010-1-15,204.12,71.63,15.07
2010-1-14,207.59,71.92,15.31
2010-1-13,208.80,72.14,15.43
2010-1-12,205.89,72.70,15.37
2010-1-11,208.26,73.12,15.36
2010-1-8,210.11,71.85,15.22
2010-1-7,208.73,71.72,14.90
2010-1-6,209.11,71.99,14.16
2010-1-5,212.49,71.98,14.24
2010-1-4,212.13,71.48,14.16
2009-12-31,208.88,69.60,13.87
